Distance,fA,fB,fAB
189593,1.0,0.013447,0.013447
817540,1.0,0.17549,0.17549
2051,1.0,1.0,1.0
83404,1.0,0.591002,0.591002
618893,1.0,0.981402,0.981402
766878,1.0,0.0246238,0.0246238
751726,0.208748,0.756269,0.0176905
490228,0.208748,0.128871,0.128362
408022,0.208748,0.167181,0.00294248
52445,0.208748,0.0245706,0.00117674
193242,0.208748,0.200118,0.18503
303156,0.208748,0.0257418,0.000384616
683220,0.208748,0.0259395,0.00181406
53344,0.208748,0.579171,0.0159251
666705,0.208748,0.590869,0.0239747
130014,0.208748,0.981334,0.202668
759114,0.208748,0.0204886,0.00191951
562986,0.208748,0.013447,0.0134458
64961,0.208748,0.17549,0.000646887
750528,0.208748,1.0,0.208748
669175,0.208748,0.591002,0.024086
133686,0.208748,0.981402,0.202664
14299,0.208748,0.0246238,0.0246199
261498,0.756269,0.128871,0.000781129
343704,0.756269,0.167181,0.162856
804171,0.756269,0.0245706,0.000147355
558484,0.756269,0.200118,0.00263328
448570,0.756269,0.0257418,0.000534044
68506,0.756269,0.0259395,0.00284068
805070,0.756269,0.579171,0.579117
85021,0.756269,0.590869,0.579426
621712,0.756269,0.981334,0.74178
7388,0.756269,0.0204886,0.000825454
188740,0.756269,0.013447,2.16583e-06
816687,0.756269,0.17549,0.175388
1198,0.756269,1.0,0.756269
82551,0.756269,0.591002,0.579426
618040,0.756269,0.981402,0.741854
766025,0.756269,0.0246238,7.5573e-05
82206,0.128871,0.167181,0.000701622
542673,0.128871,0.0245706,0.000877543
296986,0.128871,0.200118,0.128369
187072,0.128871,0.0257418,7.16612e-05
192992,0.128871,0.0259395,0.000283799
543572,0.128871,0.579171,0.00011271
176477,0.128871,0.590869,0.000511048
360214,0.128871,0.981334,0.127097
268886,0.128871,0.0204886,0.00093613
72758,0.128871,0.013447,0.0134457
555189,0.128871,0.17549,0.000344565
260300,0.128871,1.0,0.128871
178947,0.128871,0.591002,0.000618913
356542,0.128871,0.981402,0.127093
504527,0.128871,0.0246238,0.0246168
460467,0.167181,0.0245706,1.5235e-05
214780,0.167181,0.200118,0.00294159
104866,0.167181,0.0257418,1.97769e-05
275198,0.167181,0.0259395,0.00124287
461366,0.167181,0.579171,0.000179261
258683,0.167181,0.590869,0.000176948
278008,0.167181,0.981334,0.164757
351092,0.167181,0.0204886,0.000992373
154964,0.167181,0.013447,5.9608e-07
472983,0.167181,0.17549,0.162765
342506,0.167181,1.0,0.167181
261153,0.167181,0.591002,0.000177417
274336,0.167181,0.981402,0.164764
422321,0.167181,0.0246238,1.54735e-06
245687,0.0245706,0.200118,0.012274
355601,0.0245706,0.0257418,0.0236257
735665,0.0245706,0.0259395,0.000349553
899,0.0245706,0.579171,3.1225e-06
719150,0.0245706,0.590869,0.000591178
182459,0.0245706,0.981334,0.0245665
811559,0.0245706,0.0204886,0.000193148
615431,0.0245706,0.013447,1.33136e-06
12516,0.0245706,0.17549,5.08847e-05
802973,0.0245706,1.0,0.0245706
721620,0.0245706,0.591002,0.000591685
186131,0.0245706,0.981402,0.0245665
38146,0.0245706,0.0246238,2.72541e-06
109914,0.200118,0.0257418,0.0114843
489978,0.200118,0.0259395,0.00249802
246586,0.200118,0.579171,0.000622042
473463,0.200118,0.590869,0.00892728
63228,0.200118,0.981334,0.195422
565872,0.200118,0.0204886,0.0030687
369744,0.200118,0.013447,0.0134458
258203,0.200118,0.17549,0.000523946
557286,0.200118,1.0,0.200118
475933,0.200118,0.591002,0.0090387
59556,0.200118,0.981402,0.195419
207541,0.200118,0.0246238,0.0246179
380064,0.0257418,0.0259395,0.000622314
356500,0.0257418,0.579171,0.00039084
363549,0.0257418,0.590869,0.000985503
173142,0.0257418,0.981334,0.0254112
455958,0.0257418,0.0204886,0.000670102
259830,0.0257418,0.013447,7.81274e-07
368117,0.0257418,0.17549,3.76723e-05
447372,0.0257418,1.0,0.0257418
366019,0.0257418,0.591002,0.000986067
169470,0.0257418,0.981402,0.0254112
317455,0.0257418,0.0246238,2.9574e-06
736564,0.0259395,0.579171,0.001941
16515,0.0259395,0.590869,0.00388798
553206,0.0259395,0.981334,0.0251259
75894,0.0259395,0.0204886,0.0139629
120234,0.0259395,0.013447,7.36406e-06
748181,0.0259395,0.17549,0.000876055
67308,0.0259395,1.0,0.0259395
14045,0.0259395,0.591002,0.00388922
549534,0.0259395,0.981402,0.0251265
697519,0.0259395,0.0246238,8.35452e-06
720049,0.579171,0.590869,0.578956
183358,0.579171,0.981334,0.564974
812458,0.579171,0.0204886,0.000601683
